"Month","Day","Steps","Miles","Floors","Sed","Active","Sleep"
"Jan","Fri",7345,3.21,31,9.75,5.47,7.97
"Jan","Sat",114,0.05,1,14.68,0.15,8.53
"Jan","Sun",15400,6.73,37,7.93,6.5,7.38
"Jan","Mon",10781,5.01,39,10.97,5.68,7
"Jan","Tue",13773,6.13,12,9.27,4.45,9.33
"Jan","Wed",11512,5.16,31,10.62,5.45,7.03
"Jan","Thu",14295,6.26,30,9.8,5.7,7.78
"Jan","Fri",11286,5.02,23,11.05,5.47,7.87
"Jan","Sat",9184,4.01,25,9.58,6.67,8.57
"Jan","Sun",5241,2.29,11,10.05,3.7,7.4
"Jan","Mon",17209,7.55,20,10.45,6.52,8.25
"Jan","Tue",8843,3.88,15,9.35,4.88,8.4
"Jan","Wed",13624,6.08,27,9.53,6.93,7.57
"Jan","Thu",12104,5.41,19,12.23,5.83,5.1
"Jan","Fri",16156,7.1,53,10.9,6.72,10.25
"Jan","Sat",7258,3.17,13,10.53,4.48,7.5
"Jan","Sun",10706,4.68,20,6.75,7.48,6.7
"Jan","Mon",20122,8.79,140,8.48,5.95,3.87
"Jan","Tue",10521,4.75,18,11.67,4.1,5.03
"Jan","Wed",12760,5.69,12,9.2,6.92,7.72
"Jan","Thu",11362,5.09,14,8.98,4.75,7.6
"Jan","Fri",13414,6.07,10,10.07,6.12,8.82
"Jan","Sat",6826,2.98,11,11.43,3.77,8.57
"Jan","Sun",6444,2.81,45,10.2,3.65,8.72
"Jan","Mon",17299,7.62,31,10.97,6.73,8.25
"Jan","Tue",12011,5.26,15,8.8,5.43,7.5
"Jan","Wed",14212,6.4,30,9.08,7.25,7.62
"Jan","Thu",10626,4.74,14,10.3,5.62,7.88
"Jan","Fri",14702,6.65,27,8.82,7.47,6.33
"Jan","Sat",10001,4.37,23,12.25,4.32,9.2
"Jan","Sun",5643,2.47,22,17.72,4.42,8
"Feb","Mon",16982,7.59,36,9.4,6.88,7.38
"Feb","Tue",11520,5.1,20,10.12,4.1,8.7
"Feb","Wed",13799,6.07,34,9.93,6.85,7.53
"Feb","Thu",13874,6.23,45,10.13,4.88,7.75
"Feb","Fri",18136,8.03,21,9.6,7.3,7.7
"Feb","Sat",11443,5,33,9.37,6.28,8
"Feb","Sun",4219,1.84,21,10.27,3.13,8.38
"Feb","Mon",15600,6.97,34,10.92,5.82,7.23
"Feb","Tue",10701,4.67,11,10.22,4.7,7.02
"Feb","Wed",13196,5.95,15,9.88,6.15,8.62
"Feb","Thu",9141,4.01,15,11.02,5.18,7.7
"Feb","Fri",15383,6.75,18,10.05,7.03,7.93
"Feb","Sat",8318,3.63,20,10.55,4.85,7.97
"Feb","Sun",7760,3.39,32,13.63,2.78,7.55
"Feb","Mon",8806,3.85,10,9.4,5.35,7.68
"Feb","Tue",15731,6.87,17,10.45,5,7.05
"Feb","Wed",12675,5.6,29,9.57,5.98,7.3
"Feb","Thu",9892,4.61,9,11.85,4.77,8.02
"Feb","Fri",16220,7.15,15,10.18,6.63,7.63
"Feb","Sat",12367,5.42,28,8.92,7.58,7.45
"Feb","Sun",1792,0.78,4,11.67,1.4,8.48
"Feb","Mon",17942,7.87,29,10.5,7.27,2.43
"Feb","Tue",7609,3.39,10,8.92,4.18,13.97
